,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,,backpack,umbrella,,,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,,dining table,,,toilet,,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,,book,clock,vase,scissors,teddy bear,hair drier,toothbrush,
person,1.0,0.041222802776261405,0.1328706230991188,0.04345317008500351,0.01601809249005693,0.04696248927708025,0.02537627700226156,0.06226312095453482,0.030991187709584343,0.038212586758168916,0.010808703111596351,0.0,0.010075645324806988,0.005100210559151525,0.06407236996022772,0.012399594478671139,0.010808703111596351,0.031958200109178825,0.03131872416751151,0.005739686500818841,0.009592139125009749,0.013491382671761679,0.0012477579349606178,0.001684473212196834,0.006831474693909383,0.0,0.07851516805739686,0.05376277002261562,0.0,0.0,0.09704437339156204,0.05664821024721204,0.02401934024799189,0.028402089994541063,0.047477189425251504,0.025298292131326526,0.06390080324417063,0.03273804881852921,0.038633705061218125,0.04058332683459409,0.053294860797005385,0.052483818139280984,0.05242143024253296,0.07113779926694222,0.0,0.025688216486001718,0.07561413085861343,0.02759104733681666,0.03680885908133822,0.02628090150510801,0.045168837245574356,0.014473992045543166,0.0078764719644389,0.01533182562582859,0.007533338532324729,0.004257973953053108,0.005708492552444827,0.010793106137409343,0.024939561725025348,0.013023473446151446,0.02462762224128519,0.12532168759260703,0.03487483428214926,0.03060126335490915,0.019932933010995867,0.0,0.09153864150354832,0.0,0.0,0.0063479684941121425,0.0,0.030226935974420964,0.027357092724011545,0.00739296576464166,0.03209857287686189,0.00931139358964361,0.05973641113623957,0.007533338532324729,0.016033689464243935,0.0007486547609763706,0.01581533182562583,0.01361615846525774,0.0,0.035545504172190594,0.02971223582624971,0.013085861342899479,0.006082819932933012,0.01335100990407861,0.0015285034703267568,0.00842236606098417,0.0
bicycle,0.812730627306273,1.0,0.37976629766297665,0.13899138991389914,0.005227552275522755,0.13284132841328414,0.03167281672816728,0.13776137761377613,0.038130381303813035,0.1411439114391144,0.03198031980319803,0.0,0.03843788437884379,0.023677736777367772,0.10362853628536285,0.019372693726937267,0.02183271832718327,0.04305043050430504,0.02429274292742927,0.0030750307503075026,0.017220172201722016,0.007687576875768758,0.0003075030750307503,0.0006150061500615006,0.0003075030750307503,0.0,0.19526445264452644,0.09532595325953258,0.0,0.0,0.20018450184501846,0.025215252152521527,0.03444034440344403,0.00984009840098401,0.0012300123001230013,0.0003075030750307503,0.013530135301353014,0.02275522755227552,0.005227552275522755,0.003997539975399754,0.07564575645756458,0.011685116851168511,0.004305043050430504,0.050430504305043054,0.0,0.004305043050430504,0.02982779827798278,0.004612546125461255,0.006765067650676507,0.004305043050430504,0.014760147601476014,0.019372693726937267,0.005227552275522755,0.005535055350553505,0.006150061500615005,0.0015375153751537513,0.0030750307503075026,0.0033825338253382535,0.004305043050430504,0.003997539975399754,0.0027675276752767526,0.07749077490774907,0.011685116851168511,0.04489544895448954,0.006150061500615005,0.0,0.04274292742927429,0.0,0.0,0.0018450184501845018,0.0,0.013530135301353014,0.008610086100861008,0.004305043050430504,0.0036900369003690036,0.004612546125461255,0.05627306273062731,0.0018450184501845018,0.0027675276752767526,0.0003075030750307503,0.0024600246002460025,0.005535055350553505,0.0,0.02183271832718327,0.02982779827798278,0.005227552275522755,0.0015375153751537513,0.007687576875768758,0.0,0.0012300123001230013,0.0
car,0.6953718063831523,0.10080809729817974,1.0,0.11239898783772753,0.02914047832829973,0.17345522814464123,0.034446167659782874,0.29907762631621904,0.021386009305362826,0.2068402579381275,0.0622806301526406,0.0,0.06334176801893722,0.038690719124969394,0.06652518161782711,0.014855930128152802,0.01338666231328055,0.039262101052975264,0.03126275406089299,0.007019835115500775,0.01199902048812342,0.009060484858378907,0.0006530079177210024,0.003918047506326014,0.003999673496041139,0.0,0.08431964737572444,0.06342339400865235,0.0,0.0,0.12350012243898457,0.02432454493510734,0.02563056077054934,0.02236552118194433,0.006040323238919272,0.0032650395886050115,0.023834788996816583,0.021304383315647702,0.01093788262182679,0.01126438658068729,0.05068973961309281,0.01093788262182679,0.012080646477838543,0.01959023753163007,0.0,0.003836421516610889,0.019508611541914946,0.005142437352052893,0.004571055424047016,0.004489429434331891,0.007427965064076401,0.006040323238919272,0.0026120316708840097,0.004407803444616766,0.0031834135988898864,0.001142763856011754,0.001959023753163007,0.004244551465186515,0.005632193290343645,0.0050608113623377676,0.0031834135988898864,0.04473104236388866,0.003836421516610889,0.029385356297445105,0.0017957717737327565,0.0,0.02530405681168884,0.0,0.0,0.001959023753163007,0.0,0.005958697249204146,0.004571055424047016,0.0018773977634478816,0.0009795118765815035,0.002203901722308383,0.03836421516610889,0.0009795118765815035,0.0013060158354420049,8.16259897151253e-05,0.0008978858868663783,0.0028569096400293853,0.0,0.007427965064076401,0.04073136886784752,0.0032650395886050115,0.0007346339074361276,0.006530079177210023,0.0001632519794302506,0.0007346339074361276,0.0
motorcycle,0.7955454026270702,0.12906910336950314,0.3932038834951456,1.0,0.004283266704740148,0.08366647629925757,0.006853226727584237,0.1801827527127356,0.006282124500285552,0.09194745859508852,0.011707595659623073,0.0,0.0231296402055968,0.009137635636778984,0.03398058252427184,0.007138777841233581,0.010850942318675044,0.03083952027412907,0.007138777841233581,0.003997715591090805,0.026270702455739578,0.010850942318675044,0.00028555111364934324,0.0,0.0,0.0,0.09537407195888063,0.0548258138206739,0.0,0.0,0.12764134780125644,0.018846373500856654,0.018275271273557967,0.001142204454597373,0.0005711022272986865,0.00028555111364934324,0.003141062250142776,0.0028555111364934323,0.0005711022272986865,0.0,0.008566533409480296,0.0019988577955454027,0.001142204454597373,0.01684751570531125,0.0,0.0017133066818960593,0.009994288977727014,0.0017133066818960593,0.0014277555682467161,0.0008566533409480297,0.0048543689320388345,0.012849800114220445,0.0028555111364934323,0.0005711022272986865,0.004283266704740148,0.00028555111364934324,0.0014277555682467161,0.00028555111364934324,0.0017133066818960593,0.0005711022272986865,0.0008566533409480297,0.04683038263849229,0.001142204454597373,0.03312392918332382,0.00028555111364934324,0.0,0.015419760137064534,0.0,0.0,0.00028555111364934324,0.0,0.003997715591090805,0.0019988577955454027,0.0008566533409480297,0.0005711022272986865,0.0008566533409480297,0.022844089091947458,0.0005711022272986865,0.0,0.0,0.0,0.0014277555682467161,0.0,0.007424328954882924,0.014563106796116505,0.0008566533409480297,0.00028555111364934324,0.004283266704740148,0.00028555111364934324,0.0,0.0
airplane,0.34393837910247826,0.0056932350971198925,0.11955793703951774,0.005023442732752847,1.0,0.024112525117213665,0.002679169457468185,0.2156731413261889,0.026121902210314803,0.007367716008037509,0.0016744809109176155,0.0,0.0016744809109176155,0.0006697923643670463,0.008037508372404554,0.008372404554588079,0.0010046885465505692,0.0020093770931011385,0.0013395847287340926,0.0006697923643670463,0.0006697923643670463,0.00033489618218352315,0.0,0.0,0.00033489618218352315,0.0,0.023107836570663093,0.0036838580040187544,0.0,0.0,0.031815137307434696,0.01406563965170797,0.02578700602813128,0.0010046885465505692,0.0006697923643670463,0.0,0.0006697923643670463,0.005023442732752847,0.0006697923643670463,0.0006697923643670463,0.0006697923643670463,0.0010046885465505692,0.0010046885465505692,0.003348961821835231,0.0,0.00033489618218352315,0.002344273275284662,0.0,0.0010046885465505692,0.0,0.0013395847287340926,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00033489618218352315,0.0,0.002344273275284662,0.01507032819825854,0.0,0.0036838580040187544,0.00033489618218352315,0.0,0.004018754186202277,0.0,0.0,0.0,0.0,0.002344273275284662,0.0016744809109176155,0.0,0.0006697923643670463,0.0006697923643670463,0.004018754186202277,0.0,0.00033489618218352315,0.0,0.00033489618218352315,0.0006697923643670463,0.0,0.002679169457468185,0.0036838580040187544,0.00033489618218352315,0.0,0.0006697923643670463,0.00033489618218352315,0.0,0.0
bus,0.7618927125506074,0.10931174089068828,0.5377024291497976,0.07413967611336034,0.01821862348178138,1.0,0.024544534412955468,0.23203441295546562,0.014423076923076924,0.2168522267206478,0.021255060728744942,0.0,0.031376518218623486,0.008856275303643727,0.0549089068825911,0.010374493927125509,0.0007591093117408908,0.012145748987854253,0.019230769230769235,0.00430161943319838,0.006831983805668017,0.004048582995951418,0.0007591093117408908,0.0010121457489878545,0.002024291497975709,0.0,0.12095141700404859,0.043522267206477734,0.0,0.0,0.17079959514170043,0.03036437246963563,0.028340080971659923,0.0007591093117408908,0.0027834008097165994,0.0007591093117408908,0.0037955465587044537,0.008097165991902836,0.0010121457489878545,0.0015182186234817816,0.012398785425101215,0.0030364372469635632,0.002024291497975709,0.008350202429149798,0.0,0.0002530364372469636,0.004554655870445345,0.0,0.0002530364372469636,0.0002530364372469636,0.0010121457489878545,0.0030364372469635632,0.002024291497975709,0.002024291497975709,0.0025303643724696357,0.0,0.0005060728744939272,0.002024291497975709,0.0007591093117408908,0.002024291497975709,0.0005060728744939272,0.021761133603238867,0.0002530364372469636,0.021255060728744942,0.0,0.0,0.008097165991902836,0.0,0.0,0.0,0.0,0.0027834008097165994,0.0015182186234817816,0.0005060728744939272,0.0,0.0002530364372469636,0.022773279352226724,0.0,0.0,0.0002530364372469636,0.0,0.0,0.0,0.0032894736842105266,0.04175101214574899,0.0007591093117408908,0.0,0.002024291497975709,0.0002530364372469636,0.0,0.0
train,0.45345596432552954,0.02870680044593088,0.11761426978818283,0.006688963210702341,0.002229654403567447,0.027034559643255296,1.0,0.04821627647714604,0.01588628762541806,0.112876254180602,0.0036231884057971015,0.0,0.010869565217391304,0.0013935340022296543,0.06521739130434782,0.00613154960981048,0.0008361204013377926,0.004738015607580825,0.007525083612040134,0.0013935340022296543,0.002508361204013378,0.0027870680044593085,0.0,0.0002787068004459309,0.0,0.0,0.06744704570791527,0.010590858416945374,0.0,0.0,0.09615384615384616,0.01839464882943144,0.046544035674470456,0.0,0.0008361204013377926,0.0002787068004459309,0.0005574136008918618,0.0008361204013377926,0.0,0.0,0.0027870680044593085,0.0005574136008918618,0.0,0.007246376811594203,0.0,0.0016722408026755853,0.00306577480490524,0.0002787068004459309,0.0002787068004459309,0.0002787068004459309,0.0008361204013377926,0.0011148272017837235,0.0011148272017837235,0.0005574136008918618,0.0005574136008918618,0.0,0.0002787068004459309,0.0005574136008918618,0.0,0.0008361204013377926,0.005295429208472687,0.018115942028985508,0.0011148272017837235,0.010869565217391304,0.0005574136008918618,0.0,0.005016722408026756,0.0,0.0,0.0005574136008918618,0.0,0.0027870680044593085,0.0019509476031215162,0.0002787068004459309,0.0,0.0008361204013377926,0.017279821627647712,0.0,0.0005574136008918618,0.0,0.0002787068004459309,0.0002787068004459309,0.0,0.005016722408026756,0.024247491638795984,0.0005574136008918618,0.0,0.0019509476031215162,0.0,0.0,0.0
truck,0.6515423535172188,0.0731189815570426,0.5980088134486697,0.10298677982699526,0.10510853598824874,0.14966541537457156,0.02823567814591154,1.0,0.02333931777378815,0.17447364125999673,0.044230455361514605,0.0,0.048310755671617425,0.021380773624938794,0.038354822914966544,0.013709809041945487,0.0026113921984658073,0.03688591480332953,0.034764158642076055,0.013546597029541375,0.01664762526521952,0.008976660682226212,0.0011424840868287907,0.003590664272890485,0.004080300310102824,0.0,0.07034437734617267,0.044556879386322835,0.0,0.0,0.10168108372776236,0.02089113758772646,0.02480822588542517,0.01436265709156194,0.005059572384527501,0.003590664272890485,0.011588052880692019,0.016321201240411295,0.005712420434143954,0.005222784396931615,0.025297861922637506,0.007997388607801534,0.004080300310102824,0.01779010935204831,0.0,0.001958544148849355,0.010608780806267341,0.0017953321364452424,0.0014689081116370166,0.0032642402480822586,0.006202056471356293,0.00832381263260976,0.004406724334911049,0.0013056960992329036,0.004733148359719276,0.0013056960992329036,0.0026113921984658073,0.001958544148849355,0.0021217561612534683,0.002448180186061694,0.002937816223274033,0.03639627876611719,0.0022849681736575814,0.021707197649747018,0.0011424840868287907,0.0,0.01501550514117839,0.0,0.0,0.0016321201240411293,0.0,0.00277460421086992,0.0021217561612534683,0.0003264240248082259,0.0004896360372123388,0.0006528480496164518,0.027419618083890974,0.0004896360372123388,0.0009792720744246776,0.0,0.0003264240248082259,0.0017953321364452424,0.0,0.0032642402480822586,0.023012893748979923,0.0011424840868287907,0.0008160600620205646,0.0026113921984658073,0.0,0.00016321201240411296,0.0
boat,0.6568595041322314,0.040991735537190085,0.08661157024793388,0.007272727272727274,0.02578512396694215,0.018842975206611573,0.018842975206611573,0.04727272727272727,1.0,0.004297520661157025,0.0019834710743801653,0.0,0.0019834710743801653,0.0009917355371900827,0.06677685950413224,0.07801652892561985,0.001652892561983471,0.05090909090909092,0.012561983471074381,0.003305785123966942,0.014876033057851241,0.0049586776859504135,0.0006611570247933885,0.0,0.002644628099173554,0.0,0.037685950413223146,0.08595041322314051,0.0,0.0,0.03933884297520661,0.004628099173553719,0.009256198347107438,0.011900826446280993,0.006611570247933884,0.0019834710743801653,0.00859504132231405,0.040991735537190085,0.0019834710743801653,0.0006611570247933885,0.008264462809917356,0.05818181818181819,0.0006611570247933885,0.023140495867768597,0.0,0.004297520661157025,0.014545454545454547,0.004297520661157025,0.007603305785123967,0.003636363636363637,0.01090909090909091,0.007603305785123967,0.005950413223140496,0.003636363636363637,0.002975206611570248,0.0,0.0009917355371900827,0.002975206611570248,0.0009917355371900827,0.0006611570247933885,0.0019834710743801653,0.060826446280991736,0.003636363636363637,0.013884297520661159,0.001652892561983471,0.0,0.02247933884297521,0.0,0.0,0.001322314049586777,0.0,0.003636363636363637,0.001322314049586777,0.00033057851239669424,0.001322314049586777,0.0006611570247933885,0.012231404958677685,0.00033057851239669424,0.0009917355371900827,0.0,0.001652892561983471,0.0009917355371900827,0.0,0.003636363636363637,0.02181818181818182,0.003636363636363637,0.0,0.003636363636363637,0.0,0.0006611570247933885,0.0
traffic light,0.5919304179753564,0.11089635177579125,0.6122251751630828,0.07779656921961826,0.005315293549166465,0.20705484416525732,0.09784972215510992,0.25827494563904324,0.003140855279052911,1.0,0.060401063058709833,0.0,0.04058951437545301,0.02246919545784006,0.0442135781589756,0.013046629620681325,0.000724812756704518,0.014013046629620683,0.019811548683256828,0.000724812756704518,0.0021744382701135542,0.0026576467745832327,0.0,0.0,0.0,0.0,0.1087219135056777,0.0553273737617782,0.0,0.0,0.16115003624063784,0.019569944431021984,0.017153901908673594,0.000724812756704518,0.0021744382701135542,0.0012080212611741967,0.0024160425223483935,0.0024160425223483935,0.000724812756704518,0.0012080212611741967,0.020294757187726505,0.0019328340178787148,0.0016912297656438754,0.009180961584923895,0.0,0.0004832085044696787,0.007006523314810342,0.0,0.0,0.000724812756704518,0.0009664170089393574,0.001449625513409036,0.0009664170089393574,0.0012080212611741967,0.000724812756704518,0.00024160425223483935,0.00024160425223483935,0.0021744382701135542,0.0009664170089393574,0.0024160425223483935,0.00024160425223483935,0.013529838125151003,0.0,0.025610050736892973,0.00024160425223483935,0.0,0.006281710558105822,0.0,0.0,0.000724812756704518,0.0,0.0043488765402271085,0.001449625513409036,0.00024160425223483935,0.0004832085044696787,0.0004832085044696787,0.026576467745832326,0.00024160425223483935,0.000724812756704518,0.0,0.00024160425223483935,0.00024160425223483935,0.0,0.003140855279052911,0.0509784972215511,0.0009664170089393574,0.00024160425223483935,0.0016912297656438754,0.0,0.00024160425223483935,0.0
